#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.422793,10,56.544647
0.432221,10,56.577423
0.422432,10,56.625195
0.41082,10,56.675814
0.380161,10,56.737282
0.405368,10,56.792035
0.357073,10,56.849571
0.363027,10,56.910431
0.384227,10,56.951476
0.423539,10,57.005749
0.383436,10,57.055028
0.382705,10,57.093725
0.42625,10,57.131654
0.398199,10,57.178532
0.391497,10,57.23932
0.36693,10,57.296885
0.389489,10,57.345931
0.349414,10,57.387426
0.369019,10,57.433707
0.433954,10,57.473758
0.392759,10,57.522545
0.403502,10,57.556942
0.388025,10,57.615227
0.365138,10,57.650888
0.338249,10,57.698991
0.373839,10,57.739379
0.38483,10,57.779003
0.404545,10,57.819562
0.377156,10,57.865411
0.407586,10,57.91308
0.419516,10,57.961918
0.385998,10,57.999995
0.384586,10,58.042719
0.37675,10,58.082996
0.369046,10,58.121871
0.389434,10,58.179038
