source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteMI-v0,48,24,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,24,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,25,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,26,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,27,11,6.380369202692517,0.0
