source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,layered,24,22,5,0.0,0.0
baseline,layered,24,22,6,0.0,0.0
baseline,layered,24,22,7,0.0,0.0
baseline,layered,24,22,8,0.0,0.0
baseline,layered,24,22,9,0.0,0.0
baseline,layered,24,22,10,0.0,0.0
baseline,layered,24,22,11,0.0,0.0
baseline,layered,24,22,12,0.0,0.0
baseline,layered,24,22,13,0.0,0.0
baseline,layered,24,22,14,0.0,0.0
baseline,layered,24,22,15,0.0,0.0
baseline,layered,24,22,16,0.0,0.0
baseline,layered,24,22,17,0.0,0.0
baseline,layered,24,22,18,0.0,0.0
baseline,layered,24,22,19,0.0,0.0
baseline,layered,24,22,20,0.0,0.0
baseline,layered,24,22,21,0.0,0.0
baseline,layered,24,22,22,5.986041034392833,0.0
baseline,layered,24,22,23,4.597689936596569,0.0
baseline,layered,24,23,0,0.0,0.0
baseline,layered,24,23,1,0.0,0.0
baseline,layered,24,23,2,0.0,0.0
baseline,layered,24,23,3,0.0,0.0
baseline,layered,24,23,4,0.0,0.0
baseline,layered,24,23,5,0.0,0.0
baseline,layered,24,23,6,0.0,0.0
baseline,layered,24,23,7,0.0,0.0
baseline,layered,24,23,8,0.0,0.0
baseline,layered,24,23,9,0.0,0.0
baseline,layered,24,23,10,0.0,0.0
baseline,layered,24,23,11,0.0,0.0
baseline,layered,24,23,12,0.0,0.0
baseline,layered,24,23,13,0.0,0.0
baseline,layered,24,23,14,0.0,0.0
baseline,layered,24,23,15,0.0,0.0
baseline,layered,24,23,16,0.0,0.0
baseline,layered,24,23,17,0.0,0.0
baseline,layered,24,23,18,0.0,0.0
baseline,layered,24,23,19,0.0,0.0
baseline,layered,24,23,20,0.0,0.0
baseline,layered,24,23,21,0.0,0.0
baseline,layered,24,23,22,0.0,0.0
baseline,layered,24,23,23,4.597689936596569,0.0
baseline,layered,24,24,0,0.0,0.0
baseline,layered,24,24,1,0.0,0.0
baseline,layered,24,24,2,0.0,0.0
baseline,layered,24,24,3,0.0,0.0
baseline,layered,24,24,4,0.0,0.0
baseline,layered,24,24,5,0.0,0.0
baseline,layered,24,24,6,0.0,0.0
baseline,layered,24,24,7,0.0,0.0
baseline,layered,24,24,8,0.0,0.0
baseline,layered,24,24,9,0.0,0.0
baseline,layered,24,24,10,0.0,0.0
baseline,layered,24,24,11,0.0,0.0
baseline,layered,24,24,12,0.0,0.0
baseline,layered,24,24,13,0.0,0.0
baseline,layered,24,24,14,0.0,0.0
baseline,layered,24,24,15,0.0,0.0
baseline,layered,24,24,16,0.0,0.0
baseline,layered,24,24,17,0.0,0.0
baseline,layered,24,24,18,0.0,0.0
baseline,layered,24,24,19,0.0,0.0
baseline,layered,24,24,20,0.0,0.0
